qdate     price1     price2     price3     price4     price5
520630     98.178     96.253     94.247     92.634     90.418
520731     98.095     96.031     93.931     92.309     89.852
520829     98.058     95.975     93.782     92.146     89.572
520930     98.031     95.910     93.755     92.096     89.168
521031     98.111     95.974     93.758     91.929     89.725
521128     97.955     95.742     93.640     91.878     89.643
521231     98.022     95.713     93.587     91.905     89.540
530130     98.051     95.796     93.800     91.812     89.271
530227     97.950     95.703     93.666     91.617     88.923
530331     97.947     95.668     93.193     91.002     88.317
530430     97.664     95.161     93.622     90.763     87.408
530529     97.445     94.815     93.002     90.016     85.910
530630     97.608     95.231     93.315     90.714     86.966
530731     97.740     95.447     93.386     90.766     87.296
530831     97.657     95.581     93.342     90.616     86.988
530930     97.996     95.859     93.492     91.473     88.576
531030     98.354     96.403     94.357     92.144     89.351
531130     98.436     96.369     94.434     92.156     88.599
531231     98.438     96.470     94.280     92.490     89.523
540129     98.846     97.153     95.098     93.436     89.918
540226     98.900     97.436     95.599     93.682     91.023
540331     98.947     97.609     95.817     93.808     91.309
540430     99.168     97.750     95.935     94.005     92.403
540528     99.149     97.816     95.788     92.950     91.503
540630     99.271     98.191     96.125     93.617     91.540
540730     99.371     98.171     96.077     93.783     91.620
540831     99.179     98.167     96.088     93.783     91.317
540930     99.065     97.919     95.532     93.681     91.021
541029     98.954     97.415     95.328     93.117     91.176
541130     98.963     97.351     95.300     92.771     90.746
541231     98.871     97.074     94.985     92.347     90.359
550131     98.715     96.522     94.516     91.906     89.882
550228     98.355     96.267     93.961     91.093     88.933
550331     98.458     96.026     93.652     91.268     88.952
550429     98.374     95.867     93.371     91.290     88.947
550531     98.200     95.980     93.268     91.163     88.723
550630     98.178     95.772     92.976     90.672     88.181
550729     97.999     95.460     92.723     90.386     87.474
550831     97.876     95.048     92.379     89.979     87.087
550930     98.027     95.337     92.808     90.198     87.548
551031     97.946     95.487     92.938     90.470     88.078
551130     97.454     95.190     92.081     90.156     87.259
551230     97.368     94.871     91.915     89.998     86.922
560131     97.651     95.174     92.550     90.203     87.663
560229     97.520     95.220     92.423     90.064     87.405
560329     97.513     94.716     92.188     89.660     86.188
560430     97.101     93.892     91.236     88.969     85.887
560531     97.210     94.390     91.836     89.141     86.444
560629     97.496     94.511     91.990     89.296     86.736
560731     97.320     93.978     91.621     88.466     85.511
560831     96.932     93.841     90.763     87.337     84.199
560928     96.852     93.739     90.495     87.114     83.927
561031     96.967     93.776     90.764     87.437     84.095
561130     96.640     93.266     89.854     86.987     83.434
561231     96.614     93.100     89.926     86.840     83.268
570131     97.071     93.621     90.799     87.868     84.740
570228     96.817     93.491     90.402     87.377     84.433
570329     96.660     93.737     90.620     87.309     84.362
570430     96.583     93.733     90.107     86.911     83.780
570531     96.586     93.460     89.747     86.446     83.072
570627     96.454     93.189     89.422     85.706     82.068
570731     96.188     92.944     89.244     85.470     81.689
570830     96.194     92.937     89.254     85.730     82.916
570930     96.043     92.533     88.996     85.472     81.540
571031     96.254     92.372     88.676     84.911     82.480
571129     96.624     94.110     91.147     87.621     84.144
571231     97.350     95.036     92.230     89.296     86.819
580131     97.970     95.635     92.931     89.588     86.790
580228     98.286     96.256     93.692     90.491     87.757
580331     98.515     96.192     93.661     90.902     88.090
580430     98.733     96.740     94.224     91.581     88.512
580529     98.887     97.073     94.347     92.182     88.812
580630     98.906     96.718     93.613     90.521     87.986
580731     98.400     96.316     92.928     89.507     86.835
580829     97.250     93.520     90.282     86.405     83.406
580930     97.064     93.425     90.105     86.339     83.068
581031     97.020     93.674     89.594     86.547     83.362
581128     96.812     93.784     89.862     86.511     84.308
