,p1,p2,p3,p4,p5
1971-12,-0.041676526195135684,-0.09664306770486811,-0.15242882972898614,-0.2081564215059614,-0.2715594105444767
1972-01,-0.04135338568353397,-0.09615853955972106,-0.15999271131089138,-0.2190394845291769,-0.2860833510880838
1972-02,-0.04287618626150496,-0.09531117980482479,-0.1572738852932393,-0.2173478787176331,-0.2832120777803292
1972-03,-0.04934781963033935,-0.11032839069558506,-0.1734252465719556,-0.23516552654153527,-0.3001055924508381
1972-04,-0.04534261380644442,-0.1024425548271585,-0.16601916583099682,-0.2260603008956111,-0.2900314968558415
1972-05,-0.04627433153198958,-0.09887051026574876,-0.1611786516010083,-0.22195675583464464,-0.2857106835830389
1972-06,-0.05233594301992969,-0.10835388019547972,-0.1709425440226961,-0.23419185972418405,-0.2954051521379566
1972-07,-0.049463390735590355,-0.10488285197950958,-0.1698871850137782,-0.23430561602040176,-0.294183158794141
1972-08,-0.054815278773312985,-0.11245226947158259,-0.1763196045983203,-0.2446864419906851,-0.3040960477200358
1972-09,-0.056284678011233616,-0.11589357181796725,-0.17801484400912998,-0.24054406599437708,-0.3029040071578751
1972-10,-0.055364729336586455,-0.11507420784546542,-0.1779909474335081,-0.2431421978208997,-0.30466547749219436
1972-11,-0.05392834202555563,-0.11265371315196829,-0.17385351210312663,-0.24056950513758815,-0.3003891329281405
1972-12,-0.05554442290668286,-0.1186484099847617,-0.18001222535360617,-0.24287443118429758,-0.3086878232108266
1973-01,-0.06143932859989819,-0.12416963664488066,-0.18812637218232642,-0.25502129021223263,-0.31510808404243956
1973-02,-0.06404797480843125,-0.1303478939095494,-0.1972321695297089,-0.2645516550629266,-0.3296436048877019
1973-03,-0.06911430743142583,-0.1361634248128715,-0.20124752846499008,-0.26563360293516197,-0.33272128026206005
1973-04,-0.06700556178136223,-0.13261752461483906,-0.19910969223966427,-0.26200133033605144,-0.32822632776736227
1973-05,-0.06944654581015783,-0.13438890303865186,-0.1981339158101812,-0.2618713859520647,-0.32989392126109024
1973-06,-0.07535952424918227,-0.1394689852912759,-0.2067536033346079,-0.26878181295130055,-0.33620027360650656
1973-07,-0.08625529925208804,-0.15921849956050754,-0.23377486398287076,-0.3130272312374509,-0.3821685915577289
1973-08,-0.08343595824203458,-0.15272003701821504,-0.21754674270774887,-0.28527164653057296,-0.352654465475926
1973-09,-0.07702144296028168,-0.13956096257295217,-0.19864607971382245,-0.2639134638574212,-0.3273103353088285
1973-10,-0.07121677109098878,-0.13442321875468122,-0.19901207173928173,-0.26704319360422824,-0.3317732939647477
1973-11,-0.07404489721991046,-0.1334856793836744,-0.19834118864903708,-0.26405669582183194,-0.3305478206812724
1973-12,-0.07123824760105686,-0.1337714214291315,-0.19909748915594477,-0.2662859442110516,-0.3339214925366525
1974-01,-0.06885716640958764,-0.1332000189634108,-0.2014432160015416,-0.2701041401777124,-0.3372365286179462
1974-02,-0.07020789504349645,-0.13609467502768743,-0.20084404381944285,-0.27193996550317306,-0.34046419389075233
1974-03,-0.08160058720460577,-0.15429402343379553,-0.22782951330492407,-0.30052418046507867,-0.37106368139083207
1974-04,-0.08670233383929303,-0.16316619775421345,-0.24171493689964502,-0.320067532595936,-0.39705060950714605
1974-05,-0.08292519137426572,-0.15898400822975,-0.23832064291405677,-0.3162324499911398,-0.3866482606509592
1974-06,-0.08656056952767567,-0.16609000408368293,-0.2448397202293073,-0.3291987526547145,-0.40414098514603314
1974-07,-0.08657147376124454,-0.16733048649499696,-0.24939769495984634,-0.33360036439678514,-0.4095484335458006
1974-08,-0.09651090038084385,-0.17359177248496208,-0.25292000223951056,-0.333223519422159,-0.41926488859468874
1974-09,-0.07892416680701074,-0.16090846229063815,-0.23458374145676544,-0.314779240336148,-0.3916065826221614
1974-10,-0.07640599520262577,-0.15383906171855818,-0.2318563981666419,-0.3107869461668777,-0.38885875994476155
1974-11,-0.0749067526323832,-0.14425150539806939,-0.21971194601251365,-0.29324417899369876,-0.3698470305064185
1974-12,-0.06875004382911662,-0.1435817284780241,-0.21434487345786368,-0.2854445775115891,-0.3548195234392724
1975-01,-0.0606633725672354,-0.133005816478151,-0.20541415009814876,-0.2812229773910424,-0.3579328776628481
1975-02,-0.058466327609920175,-0.1242262486432427,-0.19513935490461237,-0.26451257042513854,-0.34720563399095294
1975-03,-0.06206691141621829,-0.1338743085563278,-0.2093515990458259,-0.28816218768865826,-0.3650527974969028
1975-04,-0.06682379705925597,-0.14763031700402424,-0.23106232218352643,-0.31424509984450255,-0.3929240766138536
1975-05,-0.059834933702185844,-0.13585408799416795,-0.2131684682921315,-0.29167670705806653,-0.37102020407511455
1975-06,-0.06719805456347737,-0.14140228700509194,-0.22032253412750794,-0.29164993401316636,-0.38025068046743804
1975-07,-0.0716893608918451,-0.15054385889986618,-0.23320651351004942,-0.30940975147161803,-0.3920948891699929
1975-08,-0.07359272030337335,-0.15355918812630298,-0.2340149312028449,-0.3152314283170233,-0.3991799014661501
1975-09,-0.07551049368894096,-0.16030960714284226,-0.2404677524474135,-0.3298382899851727,-0.4059402209564011
1975-10,-0.06132236518273173,-0.13834294962174465,-0.21345315523125613,-0.29167670705806653,-0.3771546575489817
1975-11,-0.06473053957193076,-0.14323546808675278,-0.22016050502423373,-0.2946261266862125,-0.3856624808119846
1975-12,-0.05989863540835136,-0.1322864535970825,-0.2082426236253556,-0.2849391709810867,-0.3681259717030082
1976-01,-0.05544928699438992,-0.12666360141232716,-0.20651999151032824,-0.28689571504515743,-0.36935499709610703
1976-02,-0.0604402638114162,-0.13365711481294,-0.21163502913134108,-0.2881755275140402,-0.3669994876579448
1976-03,-0.05993048778321401,-0.13230928256247468,-0.20776244927590756,-0.2865893363720447,-0.36466391380423224
1976-04,-0.05965446756828912,-0.13086067644971514,-0.20618811066479634,-0.2805740609924032,-0.36342625426162073
1976-05,-0.06701625485278677,-0.14491017179580834,-0.22244379619993648,-0.30174042970282117,-0.3812604194113471
1976-06,-0.06341914786965487,-0.1383199824991797,-0.21293335323935417,-0.2943979066005119,-0.37329805981414094
1976-07,-0.06001543240998663,-0.1332457191473619,-0.20729480875987208,-0.2867092125001894,-0.36368517255996013
1976-08,-0.05822250920042254,-0.12953937135498522,-0.19987878688231497,-0.2791188417912931,-0.3583048429313039
1976-09,-0.05721606256042775,-0.12427154054958682,-0.19664768751024467,-0.2692660269309886,-0.35047988727582113
1976-10,-0.054530106162737554,-0.11941436555173286,-0.18725771962490065,-0.25917236400606525,-0.3367042635373759
1976-11,-0.049148228266730466,-0.10651673938249015,-0.1681228373941416,-0.23412866737296506,-0.3027821739744263
1976-12,-0.047542442897463066,-0.10569390455906402,-0.17046808756296725,-0.23099932727979333,-0.3046383544348817
1977-01,-0.055872182566632324,-0.12153506572611276,-0.19442247851078323,-0.26849401304873566,-0.3375027674357369
1977-02,-0.05458290977029216,-0.11976374596857009,-0.1925658508500717,-0.2703399861451844,-0.3436318052763068
1977-03,-0.05351681721482648,-0.11814185002255945,-0.19070056282484169,-0.26704319360422824,-0.34301157154108275
1977-04,-0.0541077776482301,-0.12018090825638471,-0.1895999803726529,-0.26874256263238655,-0.34189893454731607
1977-05,-0.05645395614619284,-0.12162540812386141,-0.18996267592998137,-0.2659336270697883,-0.33953692799405805
1977-06,-0.056094274354908234,-0.11926788750345989,-0.18533007785840996,-0.2587059642152638,-0.3309515039485151
1977-07,-0.061524401496787944,-0.12777655494215848,-0.19589323682404938,-0.2718218467411829,-0.3457208737190368
1977-08,-0.06236488519673058,-0.12961905580460695,-0.19832899493977146,-0.2706807507718715,-0.3422227391129739
1977-09,-0.06461319059193217,-0.13353139262452263,-0.20386802369497398,-0.2756349315411139,-0.3498412043601672
1977-10,-0.06781856125918276,-0.1403891390218613,-0.2136883925434545,-0.2885624598790883,-0.3634837858680628
1977-11,-0.06625733077824338,-0.13966444712797474,-0.21127674124937557,-0.28509874544951036,-0.36013807652312224
1977-12,-0.06816107466872004,-0.14181705266844133,-0.21532420226207816,-0.29331121974779845,-0.3728188439763261
1978-01,-0.07070147317298427,-0.14651821466867712,-0.22214405098112627,-0.3012537524818756,-0.3796511732151848
1978-02,-0.07133489760462226,-0.14862762667013618,-0.2267500469083214,-0.3062127090712156,-0.38644219647595873
1978-03,-0.07144229745436559,-0.15122994931628087,-0.22945090088887687,-0.31029584732336735,-0.38884400709192823
1978-04,-0.07391568295016816,-0.15277828865364632,-0.23349696339370135,-0.313697559655063,-0.3956979623491929
1978-05,-0.07762646247981222,-0.15873785149699968,-0.23903160057854592,-0.32027413705244034,-0.40628544449206694
1978-06,-0.08170909532654526,-0.16601916583099682,-0.24937203024369667,-0.3324284238641924,-0.41578820843123904
1978-07,-0.08050531465965012,-0.1657712714563395,-0.2477308569495533,-0.3284068494755876,-0.41209705090621235
1978-08,-0.08253414205361874,-0.16495719376725035,-0.24503135107223903,-0.3271438813329684,-0.4096086808610478
1978-09,-0.08529648462208468,-0.16898686036225488,-0.24780772680891924,-0.33123000117926765,-0.414258658290157
1978-10,-0.09505821155099152,-0.18463222433119555,-0.27186121811163977,-0.3596937817620748,-0.4361975487939531
1978-11,-0.09743643869147589,-0.18547452216936083,-0.26661227449935615,-0.34782847529980315,-0.42686751436860043
1978-12,-0.1019773561124645,-0.19337845967217518,-0.2816469869376097,-0.3644335355509203,-0.45122112994636854
1979-01,-0.09781130501192202,-0.18737832070080856,-0.26746123196533506,-0.34852255089691503,-0.4352080773074019
1979-02,-0.09931217712362289,-0.19211737958410827,-0.27072007724055625,-0.36131426037287606,-0.4522265814630549
1979-03,-0.09631268214191442,-0.18916491927596255,-0.2717037419295868,-0.35826191680001473,-0.446240228727018
1979-04,-0.09788850081912537,-0.19289324064692226,-0.27547686001341865,-0.3637139453984026,-0.4532487789619708
1979-05,-0.09621358775442929,-0.1852578635262407,-0.2638223269241159,-0.35254064480027725,-0.4343894116865659
1979-06,-0.0915671935254905,-0.17312794782615049,-0.25624800696225064,-0.34014095815774154,-0.417532628626494
1979-07,-0.0944095854611786,-0.18119818800900833,-0.26377025240546803,-0.3481683705020558,-0.4296758368232225
1979-08,-0.10026242193839431,-0.1912089327838639,-0.27683445451212535,-0.3619746770336361,-0.4430267982015554
1979-09,-0.10668361278715044,-0.19619738232960265,-0.2856707631577479,-0.3693115940043532,-0.4550125589467779
1979-10,-0.1242262486432427,-0.2327646863582646,-0.3363122494198479,-0.4329699212303545,-0.5313004769553762
1979-11,-0.11152391488533146,-0.21962474956509093,-0.3048146674587677,-0.39861363315906256,-0.4988476470065838
1979-12,-0.11187054890478103,-0.21702480905603444,-0.31151039198435876,-0.4045904906975037,-0.49840310376743346
1980-01,-0.11615186673604697,-0.22703862728309487,-0.3236409113060482,-0.4279561459436961,-0.5300933941236474
1980-02,-0.14347783777095435,-0.27281973288115713,-0.39745229659830733,-0.5072486952756481,-0.610240884564196
1980-03,-0.14880167794608118,-0.27964776742345887,-0.3904829039351382,-0.4911864085136422,-0.6114566006048084
1980-04,-0.10375070099392784,-0.21026434548904424,-0.3051538183638209,-0.4008955643937946,-0.5088941569162434
1980-05,-0.08501337432695673,-0.17471059379261952,-0.27237318703712027,-0.37145506231818237,-0.4796176966417975
1980-06,-0.08214324559276916,-0.17484160154012862,-0.27107408507175973,-0.36639344452375683,-0.46968368043481556
1980-07,-0.08903888554214287,-0.18916491927596255,-0.291489310794735,-0.3894933385984657,-0.5040817482326451
1980-08,-0.11074163461030662,-0.22323105514255817,-0.33754481162418504,-0.44758481929857497,-0.5645077340158506
1980-09,-0.11751182243801354,-0.23409075387891615,-0.3472622399006249,-0.4637194163387192,-0.5754174796591679
1980-10,-0.12952798838049998,-0.249641542620438,-0.37020897429326155,-0.48429729875316735,-0.6132275573840719
1980-11,-0.14225504758087126,-0.26319761160478133,-0.3854272143716569,-0.5017337470877726,-0.6291588107278552
1980-12,-0.1281175027804426,-0.2478333514085363,-0.35890600232821035,-0.4793915582764604,-0.5942615820080251
1981-01,-0.13453761298018546,-0.25109302422116525,-0.3678081169310659,-0.4881675998734067,-0.6136523152323188
1981-02,-0.1400324789668825,-0.26375723419950675,-0.39699111402878495,-0.5228644673777469,-0.651333677746535
1981-03,-0.12602818366052354,-0.252417894018205,-0.37902280760263984,-0.5089107915612188,-0.6430626163925248
1981-04,-0.14510670018034186,-0.2852051425768883,-0.41342671777885787,-0.5558752923197149,-0.6872247528081789
