,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1973-02,-0.00988920106146204,-0.017754970455678448,-0.022521667650533136,-0.025221027939265707,-0.026680223903279596,-0.027407917819960326,-0.02770202504175946,-0.027740114799450714,-0.027637847423451344,-0.02747428527285855,-0.02730719883525949,-0.027197858386682296,-0.027184649626077077,-0.027312923069396266
1973-03,-0.016543996440852114,-0.027795501499940003,-0.03504705850028073,-0.0400900999982869,-0.0438627571531721,-0.04686519480453964,-0.04937884771597015,-0.05158877549315435,-0.053619142332531414,-0.05556297268806633,-0.05749637287108465,-0.05948316044472764,-0.06157601020544539,-0.06381757484060438
1973-04,-0.013422432011533172,-0.02153524232922122,-0.026676980101062328,-0.030541355054379188,-0.03379684696584872,-0.03673608246262363,-0.03950405826321471,-0.04217516751248085,-0.044806392303878124,-0.047438301874326926,-0.05010850368084957,-0.052853695100652506,-0.05569981308537542,-0.058689346274156326
1973-05,-0.019083617133893137,-0.030594838667451933,-0.03819489379242971,-0.044081429621760884,-0.04912254982886076,-0.05371654242136625,-0.058063709956790666,-0.06227188550546533,-0.06641498018394143,-0.07054615155125503,-0.07470595763421564,-0.07893944724119581,-0.08327415888708467,-0.08774993821457186
1973-06,-0.023387303866014175,-0.034199278699093574,-0.041475745178162576,-0.04707769598292395,-0.05178486206160436,-0.05597180723916824,-0.05984001027228471,-0.06351615493593765,-0.06709252910516231,-0.07064204306655639,-0.07422465415607583,-0.07789033039958779,-0.08168368060982506,-0.08563949141681695
1973-07,-0.035986032313036626,-0.05245523091811735,-0.06456923993172178,-0.07531562363834116,-0.08527821395175707,-0.09470673848537256,-0.10376354400610582,-0.11257213538480577,-0.12123546400963756,-0.1298407509510803,-0.13845933487145518,-0.14715435816518574,-0.15598287474757866,-0.16497206150167038
1973-08,-0.04191989603024611,-0.06554501893455318,-0.0817194361349418,-0.09481406803605336,-0.10654392961158951,-0.11759651547664421,-0.12826325101045932,-0.1386955034026966,-0.14898031963392921,-0.15918422768750512,-0.16936366213823184,-0.17956586768481225,-0.18982004869934532,-0.2001639048941518
1973-09,-0.032595184060211474,-0.0450095892660477,-0.05163776012564989,-0.05736652681013734,-0.06358354734401406,-0.07050424147924075,-0.07801358955621954,-0.08595028909908989,-0.09417744799786928,-0.1026126744762921,-0.11120234980060713,-0.11991935145743249,-0.1287520090761973,-0.13770091904940115
1973-10,-0.01856003655132548,-0.026490450419394213,-0.032054759554985365,-0.037490631823132954,-0.04326032676139298,-0.049344354178672056,-0.055630828595846435,-0.0620156143303435,-0.06843245938638828,-0.07484487022786131,-0.08123489034352974,-0.08760213002052569,-0.09394744032025336,-0.10028810105624245
1973-11,-0.02013413809704123,-0.02853687854169127,-0.03528415132203302,-0.04133751560588812,-0.04691107649808386,-0.052079451890072855,-0.05689117373812487,-0.06138900983066673,-0.0656172399642779,-0.06961694876375973,-0.07343184525970436,-0.07709140368382288,-0.0806303600059458,-0.08407485242308402
1973-12,-0.015323248547249103,-0.020502559998637104,-0.025441877632387595,-0.03054001713662749,-0.03558946631038886,-0.04044550210381098,-0.045043920817733715,-0.049372883342785716,-0.053435809648230664,-0.057253940355230834,-0.0608489669406713,-0.06425315706088153,-0.06748521314330497,-0.07056891029726788
1974-01,-0.014523070077571523,-0.020385922234597835,-0.026695894444001916,-0.03391868815574442,-0.04151445824121361,-0.04910632029971043,-0.056514156013990305,-0.0636721142488515,-0.07056533806665356,-0.07720455374889121,-0.08360676138592159,-0.0897944129788801,-0.0957886526969588,-0.10161037695325861
1974-02,-0.003939956503660163,-0.003372401906634741,-0.0059519073401112415,-0.010554222587969057,-0.0160615515484577,-0.021899268102751827,-0.02779415282014827,-0.033622382510808776,-0.039328927912142056,-0.04488896862622272,-0.050294231652926305,-0.05555284037250402,-0.060663842646238995,-0.06564012740433763
1974-03,-0.00860812883327365,-0.010849996479713409,-0.014198128480995569,-0.018217525144317636,-0.022576768990309717,-0.02709771690491462,-0.03167268715017271,-0.036235275181781934,-0.04074401425019248,-0.04517279956259442,-0.04950925824694273,-0.05374495314516681,-0.057884493322880176,-0.06192578061852979
1974-04,-0.013679823589429159,-0.019113505095595094,-0.02291223435486489,-0.02648011425410175,-0.030057614491128547,-0.033654209726851736,-0.03724338852695449,-0.04080034923093957,-0.04431115916515814,-0.04776894481177463,-0.051169258957029826,-0.0545153057128588,-0.05780426856549786,-0.06104505703187288
1974-05,-0.008471790922352111,-0.010775758026342837,-0.010885872841823158,-0.010198199173731985,-0.009124779306326734,-0.0077930885631146,-0.006247115795998459,-0.004505453346983629,-0.0025812975859502846,-0.0004934192448963204,0.0017483410875201444,0.004123438762779694,0.006622888354719969,0.009223373150197361
1974-06,-0.007608364575032575,-0.007026499165162264,-0.004546828814127324,-0.0019046694942107673,0.0006025915817047048,0.0029793668476270907,0.005269677723123506,0.007510467575016097,0.00971701968878512,0.011897432330902805,0.014049031610598242,0.016171335745149923,0.018259072356882206,0.02031099002684883
1974-07,-0.007000988892012599,-0.009827875388957057,-0.010558107633877843,-0.010073929844144541,-0.008380170518744255,-0.0053626393046828785,-0.000949526754919619,0.004880517217193542,0.012120677086398107,0.020744254737910278,0.03071894724608347,0.04202116637821436,0.05460808089740704,0.06845792178761465
1974-08,-0.005590889283545944,-0.003464723795084536,-0.0010068377355762007,0.0009847814663419552,0.0028978433830987513,0.005019385965839132,0.007480443697461495,0.010312287510453336,0.0135012087706924,0.017021500124986988,0.020846866596878524,0.024948818316452737,0.029317540075009557,0.03393589857290791
1974-09,-0.005880278904176186,-0.006333705055452051,-0.006280096307610165,-0.005754644961073335,-0.0044201658771086255,-0.002183403270097431,0.0008960005946154759,0.00469926555116891,0.009110638874908178,0.014026243321047627,0.01936774435546959,0.02507418270334033,0.03110358965865842,0.03742773088290824
1974-10,0.0023320066044492348,0.005051715717261023,0.007790811885492514,0.01083644202388398,0.014756064399290891,0.019961333082635577,0.02669954232079437,0.03510665092427284,0.045264400793637374,0.05722356396717343,0.07101149564326997,0.08665225426030597,0.10416447943622036,0.12354877096993933
