,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1973-02,-0.012813397422380812,-0.022182238629968175,-0.02791365557243821,-0.03131408551740012,-0.03335292052983786,-0.03462320867811882,-0.03547157644599447,-0.0361007168021389,-0.036636006753020506,-0.03715640235359591,-0.037713413277413524,-0.038358561172390254,-0.03911871212914286,-0.04002741990776432
1973-03,-0.019302135882208228,-0.031971357517055765,-0.04013285053308817,-0.04583714990550687,-0.05015653003104354,-0.05367074950760979,-0.05670718806139781,-0.059474602329304516,-0.06210632140100736,-0.06469526946304494,-0.0673116475467944,-0.07001007818456695,-0.07283237073076562,-0.07581005102161564
1973-04,-0.016677545950356885,-0.026463523664101672,-0.032679153989633836,-0.037323935361814324,-0.04122466135237232,-0.044767893923356124,-0.048152853334687565,-0.05148189960462986,-0.05482283109331505,-0.05821609870358282,-0.06169234057147545,-0.06527740223959874,-0.06898439743124958,-0.07284268304621204
1973-05,-0.022231429256736976,-0.035360663772894554,-0.043999211578212245,-0.05064042845165226,-0.05630551319406446,-0.06148359265667338,-0.06642740550958458,-0.07127182979445587,-0.07610123634630195,-0.08096866829085138,-0.0859079440711447,-0.09095361838163017,-0.09612082921469864,-0.10143672334931081
1973-06,-0.025385447416056858,-0.03722449187047923,-0.04516016460774027,-0.05124116594086256,-0.05634440734520984,-0.0609021146161324,-0.06514905149557666,-0.06922906915381888,-0.07324109500414065,-0.07725796669406007,-0.08133536345928033,-0.08551659195414113,-0.08983838948472808,-0.09432748179571199
1973-07,-0.03731328261123393,-0.054464703702867046,-0.06701658501185401,-0.07808117406293294,-0.08830685412988068,-0.09798165431219122,-0.10729003065248191,-0.11636689132169045,-0.12531959796625233,-0.1342353234067401,-0.14318256461282614,-0.15222003921808863,-0.1613995725547591,-0.1707429871295613
1973-08,-0.043701958598842995,-0.06824308292231698,-0.0850054192427725,-0.0985272967314396,-0.11061040170242657,-0.1219936551255828,-0.13299816789816862,-0.14379061810807975,-0.15446397426869446,-0.16508469957953475,-0.17570541315263755,-0.1863674186816892,-0.19709290026371662,-0.20791236843683625
1973-09,-0.03485064313493747,-0.04842438121141872,-0.05579664912907329,-0.06206615717391922,-0.06873025854316878,-0.07606946051183423,-0.08400631475601791,-0.09239889696590768,-0.10111780959155381,-0.11008057886334693,-0.11922875702509766,-0.12852770235847916,-0.13795685931492693,-0.14750772534255713
1973-10,-0.021272930059697256,-0.03059780355421455,-0.037057121648738436,-0.043143404178220476,-0.049450853363315964,-0.05603826707443585,-0.06283895109035349,-0.06977207802145764,-0.07678041041960577,-0.08382735612609042,-0.09088915022296881,-0.09795635880654158,-0.10501914573844591,-0.11208384651163877
1973-11,-0.023418025790605354,-0.03350872368450048,-0.041339381749519705,-0.048180050896750655,-0.05440454944937927,-0.060182260980199194,-0.06561642029880181,-0.07077800928170011,-0.07572221960312038,-0.08049001650776286,-0.08511807809955209,-0.08962493085022279,-0.09403237414964602,-0.09835329837676224
1973-12,-0.01921464241471797,-0.02639417673591119,-0.03261730162688309,-0.0386483942656565,-0.044469201980355505,-0.05004729867693177,-0.055383303320034966,-0.06049881038255926,-0.06541017036541921,-0.070138482424831,-0.07469710641751835,-0.0791053369477421,-0.08336654664710097,-0.08748881201315167
1974-01,-0.018602087740142013,-0.026561603635891717,-0.03421728194853025,-0.04241801118767477,-0.05082233091366277,-0.05917106808625143,-0.06735205248073595,-0.07533447854640934,-0.08311704332366196,-0.09071032480830174,-0.09812258976094478,-0.10536269163415282,-0.11243570567422233,-0.11934607277295048
1974-02,-0.007990594418258464,-0.009505116030946135,-0.013420964823189567,-0.0189944116161932,-0.02530466473652916,-0.03189399044954064,-0.038556644668500645,-0.0452036059585606,-0.05179330473341642,-0.05830077334115252,-0.06470906621400793,-0.07101280279550409,-0.07719507382349058,-0.0832524271960896
1974-03,-0.011926092208677404,-0.015873432611329587,-0.020316191783649254,-0.025131062880240716,-0.030147998924787596,-0.0352846058328207,-0.040488472350875625,-0.045721700789840156,-0.050953849506309296,-0.05615869308860906,-0.06131675478071452,-0.06640853606374313,-0.07142557518526782,-0.07635238869798161
1974-04,-0.01656898334842453,-0.023487727436606917,-0.028239617540601652,-0.03250016714769318,-0.03665036141984937,-0.0407830497306994,-0.0449198481390889,-0.049060777699406796,-0.0532015059925606,-0.057335054470270104,-0.06145079011941469,-0.06554228522815138,-0.0695953416979217,-0.07360721363400698
1974-05,-0.01060579784450175,-0.014006669963862815,-0.014820813635563944,-0.014644763440949025,-0.01399434996197034,-0.013058631206695114,-0.01191714421823821,-0.010606816027515856,-0.00914793399673268,-0.007559191279727678,-0.00584585947633276,-0.004021368924911728,-0.0020862983234551657,-5.535540145595874e-05
1974-06,-0.008364128122384948,-0.008170734191647405,-0.005940397308229574,-0.003479430639195681,-0.0011219782660330246,0.0011145625933594444,0.0032616238834106692,0.005349655697941269,0.00739143003089987,0.009395072623245154,0.011359527702296049,0.013286833034925644,0.015174693505923098,0.017024906588056055
1974-07,-0.006168354792011759,-0.008567257428745763,-0.009022795891285858,-0.008338995904476912,-0.006480190467996139,-0.0033081612640845914,0.0012627711356427984,0.007261110537457691,0.014682808137218895,0.023501135551158348,0.03368200715280645,0.045199058890328284,0.058006179439746286,0.07207824078309025
1974-08,-0.004352230499521581,-0.001589379619637496,0.0012771515655786228,0.0035657364909695705,0.00572432740450831,0.008075707189739711,0.010771543851809243,0.013853750474001184,0.017312734303844474,0.021122742958832624,0.025254829447613772,0.029676374484063656,0.03437268327470794,0.03932162553835314
1974-09,-0.004935407588315881,-0.004903158611507079,-0.004537827973319371,-0.0037858458036662684,-0.0022640727616999173,0.0001480138189141056,0.0034065112966631533,0.007400757530727345,0.01201813946539268,0.017154745506697766,0.022730218115615264,0.02868044802396441,0.034959744290254,0.04153606078809291
1974-10,0.002627838117222843,0.005499608156688717,0.0083363019097328,0.01145285700369049,0.01543111959179086,0.02069128078321214,0.02748556277284972,0.035952466058725346,0.0461747155461779,0.05820307251904552,0.07206425878935896,0.08778134655823529,0.10537181004200231,0.12483505559984989
1974-11,0.005729006727660994,0.012596088613401224,0.018456195592014925,0.023286294603654785,0.027747217209085788,0.03241184277753594,0.037662854914976895,0.04373906767749272,0.050787183193977084,0.05890059951155105,0.06814210603746235,0.07855825231007814,0.09018432768500612,0.10304528731361211
1974-12,0.0035087948503464243,0.011548288577335983,0.018420001471783805,0.024131877339453833,0.029281326653024145,0.03428214476820511,0.03934926684390991,0.04456725360541018,0.04995243634649203,0.055492636866741246,0.06115423459232801,0.06690423884620648,0.072710520884758,0.07854515142215777
1975-01,0.00706015786291109,0.012804422791203448,0.018777832169404138,0.02481089591699797,0.030835607391666804,0.03692348012590257,0.04314201865202549,0.04951253152572756,0.05602640641531105,0.0626532187269376,0.06935748908151415,0.07609945888642058,0.0828495163542628,0.08957912127748384
1975-02,0.011352124089978259,0.019830176034087127,0.02468160419321747,0.028123576621394853,0.031112304638338646,0.03404285205605759,0.03708494612990307,0.040307740666488845,0.04372271228487817,0.047322723067969336,0.05108596527134665,0.05498664770246461,0.05900442702800799,0.06312413271491932
1975-03,0.013682685076348261,0.021820174011304868,0.025460617927122675,0.027571789889568127,0.02926340485725197,0.030927485843412542,0.03270502465213834,0.03464126575956479,0.03673735478419973,0.038987256294315285,0.04136762369525311,0.043869495127486224,0.0464720349548219,0.04916525156818161
1975-04,0.014158998850804239,0.018250897126848173,0.021645761313758814,0.02461266990005978,0.02736778238118452,0.030100672572018785,0.032924858676411525,0.03588680727632648,0.039000555769697215,0.04225630310637337,0.04564842995652443,0.04915701270857011,0.05277450732592213,0.05649374020690877
1975-05,0.016279583221858237,0.021484258341470688,0.02407872256523171,0.025821359197607203,0.027178990620702906,0.02835182467774225,0.029432755745115172,0.03045445524593469,0.03142583422045152,0.0323398777403344,0.03319462395582009,0.03398478141131803,0.03471444347091584,0.03538455048822795
1975-06,0.012971610717833027,0.017917341566123134,0.019640685641850987,0.020426952654063853,0.02114356337158635,0.0220804274348335,0.023299582522978046,0.024780474410533923,0.02647073080237296,0.02832320243019257,0.030294659795554162,0.03235802728300756,0.03449718714104005,0.03670153426780129
1975-07,0.004612701993166343,0.004312932842299784,0.0027667644373781195,0.0010002502852905354,-0.0008855934361672781,-0.0030970850349051025,-0.005889328689760311,-0.009475612831821864,-0.014007996580041877,-0.019576095802500783,-0.026246048314403234,-0.03402703950214098,-0.04293453214439275,-0.05294352133514013
1975-08,0.014384318475574618,0.02234430655684492,0.030354032436715667,0.03894166840180898,0.04797292759982763,0.057299666477106666,0.0668220039195789,0.07647458811645322,0.0862074279482355,0.09598021630348408,0.10576091128178162,0.11552661640387465,0.12526322765985912,0.13495586326091452
1975-09,0.014282241596582746,0.020958515368795352,0.026840100293112002,0.03338742253527874,0.040781185356664126,0.04887923449733489,0.05751513762953368,0.06656306607419182,0.07594128845164742,0.08559824051930454,0.09550332840495805,0.10563814972778349,0.11598604138567974,0.12653915798498844
1975-10,0.021066750044531183,0.032292210752483355,0.039669281570659916,0.04528188616625766,0.04979090657096558,0.053325228616123266,0.05583815518813605,0.05724634685967979,0.05745487530946645,0.05639744989703673,0.05401361112552259,0.05025644940909928,0.04509476193190434,0.03851161109869647
1975-11,0.012698053873977612,0.015586037047737672,0.014923765960060245,0.01293665522098248,0.01027235949146928,0.007063574700919338,0.0032906740785099246,-0.0011227199624959973,-0.006246888740783461,-0.012162554444822317,-0.018937783855889893,-0.026626310430207578,-0.03527979925037234,-0.04494244377297605
1975-12,0.0031425296553106155,-0.0002006439070737586,-0.004557975981522713,-0.008974041880384236,-0.013304503326421028,-0.01754507451802624,-0.021706072142473814,-0.025798790655511352,-0.029834032562208495,-0.03381610531966167,-0.03774988311467567,-0.041638627487705,-0.045480628416181106,-0.0492763244874201
1976-01,0.011507937136909606,0.011054393134749915,0.006505027574404172,0.0013656622686908163,-0.0037247237934137705,-0.00870042960648127,-0.01357458540375323,-0.018360995377020246,-0.023064339535271823,-0.027689453991087753,-0.032233198950926654,-0.036699901850116345,-0.04108555849345937,-0.04539122575262993
1976-02,0.007706455168377966,0.007050834509073549,0.003834553994945553,0.000322859290809311,-0.0031467659331052456,-0.006575645993933826,-0.00997576281315488,-0.01333927519655543,-0.016650810735640273,-0.0198890709757804,-0.023043924023393562,-0.026108203874131597,-0.0290744606566542,-0.03194623140706173
1976-03,0.005066464053468867,0.0039867830472289836,0.0012787123682316114,-0.001759607001426024,-0.004793052413815472,-0.007741880269613722,-0.010587199480569472,-0.01331928920388244,-0.015940377564817997,-0.01845372453332963,-0.02086833672835136,-0.023194866680735803,-0.025450634907644588,-0.027657098227771237
1976-04,0.011710183599782249,0.014050336201397035,0.013250385664908427,0.01161069563174208,0.00984782497698089,0.008156718388578489,0.006568842552799249,0.005076092940491363,0.0036619083885904916,0.00230583618871278,0.0009918151370153783,-0.00029592148675020025,-0.00157011677560151,-0.0028524154093147874
1976-05,-0.006149237141521364,-0.01769626470526705,-0.02949489394329981,-0.04043717586356611,-0.05059697704621202,-0.06021875279227151,-0.06949601399311885,-0.07855077282676032,-0.08745445972872022,-0.09624544885587874,-0.1049496240193403,-0.11357485327956593,-0.12212884507085908,-0.1306174726959333
1976-06,-0.0015521011380618902,-0.006803043522166706,-0.012022799501750567,-0.01677166224884471,-0.021229648119864844,-0.025592284363701964,-0.029972062176888893,-0.03441412459841821,-0.03893605384538199,-0.043531431001633446,-0.04819647317945302,-0.05292556768932953,-0.0577122706743499,-0.06255799920027787
1976-07,0.012971042379704055,0.018503291283208954,0.02095744069918893,0.02176526549490366,0.021568251796374217,0.020705610613412532,0.019378374094850322,0.017716044787562307,0.015795789477023967,0.013678788988504633,0.01138944872613916,0.008953977305927842,0.00637845995149579,0.0036678472773695276
1976-08,0.02438304360728606,0.03972203329727918,0.04994003580967837,0.057246728349954035,0.06293440700798066,0.06769705712823854,0.07190496652103451,0.07575567643933326,0.07935795489822915,0.08277229861175034,0.0860255835299911,0.08913479225692267,0.09210762997848364,0.09494669934121389
1976-09,0.015063941520012763,0.02312418156297448,0.026226698865098683,0.026304860139856154,0.02464632299899564,0.022028638387863064,0.01890598460440584,0.015536872814172799,0.012071883914971368,0.008597097085939247,0.005164609264086802,0.001813477137222963,-0.0014418007206667555,-0.004580413081114149
1976-10,0.01597360939342781,0.026876600449423575,0.03279724488074922,0.03490131796670454,0.034267849931287474,0.03175702322205127,0.028007430704930864,0.023487112613573585,0.018519817807718546,0.013331687829985596,0.008089436329020594,0.0028967661530502065,-0.0021689941220369297,-0.007061717519580388
1976-11,0.020678292379657095,0.03584907112875879,0.04629856503070092,0.05313365423974949,0.05725219529076146,0.059366176378209776,0.06004379447563639,0.059713652539300624,0.058707798324022856,0.05727846717171027,0.0556096631408769,0.053834557562002054,0.05205524301226554,0.050339538472561784
1976-12,0.03136256413985411,0.0557612493471702,0.0746690339214537,0.0893688630547084,0.10092011451507672,0.11016089983962676,0.11774538918761611,0.12416510373553913,0.12978830556386628,0.13487934522374176,0.13962905264003295,0.14416797413878985,0.14858317113338904,0.15293149049301136
1977-01,0.01681550190845543,0.02916468247766921,0.03744385826086935,0.04324565266711415,0.04770956824934689,0.05148367388664315,0.05491640289869434,0.0581906284062213,0.06140268526748234,0.06459909023131782,0.06779997085278716,0.07100565076233324,0.07420859184317359,0.07739374637209563
1977-02,0.005800506913627603,0.007685349722635657,0.006782771043896883,0.004370148395566202,0.0012443816758964527,-0.0021837080598808567,-0.005715358225296514,-0.009270745494276311,-0.012821253379389004,-0.01636790311436797,-0.01991894320668871,-0.023495758890321468,-0.027120418149866134,-0.030808393888827876
1977-03,0.0029259812922879692,0.0008187595230553131,-0.004260102276351124,-0.010841349900869449,-0.01811157894257033,-0.02565852901237889,-0.033288308948117504,-0.040917802207481736,-0.04851958803662949,-0.05609505598480438,-0.06366020239727371,-0.07122599632607549,-0.07881053896183393,-0.08643746251304901
1977-04,0.007190678416973042,0.0097905610633185,0.009436144752653874,0.007198340250504542,0.003790283943107542,-0.00032315593980070806,-0.0048515304963512446,-0.009614831072811629,-0.014508591479668695,-0.019471999319590053,-0.024474677713311424,-0.0295042404860636,-0.03455131186635399,-0.03963108979404719
1977-05,0.009441738444175757,0.014614199805643269,0.016483717054535073,0.01610266535102049,0.01424789989986575,0.011455208961120969,0.008087084573152464,0.004384894654745251,0.0004993104535958789,-0.003467617702576739,-0.007456894847810959,-0.01143416623814112,-0.015377268582038028,-0.019286469784701367
1977-06,0.011191880982300425,0.019020264742879316,0.023602268620479303,0.025627902789124694,0.02575523922416877,0.02453477879768548,0.022385507879185383,0.01962469109708411,0.016478664895210493,0.013110429076879877,0.00963071753004946,0.00611573165441829,0.002614017525411738,-0.0008401569350689406
1977-07,0.0036270087891312197,0.0053792661257032574,0.005085734944505368,0.0032139241892904513,0.00019312228811580595,-0.0036120282825721356,-0.007910864956244844,-0.012480035089914701,-0.017162870575980593,-0.02184975875609247,-0.026457100645110726,-0.030939951650097976,-0.03526146917083434,-0.03940446265925882
1977-08,-0.0006569666969611487,-0.001978635238673334,-0.0040239613984153835,-0.006510139891487493,-0.009254777225480751,-0.012104386042108298,-0.014931187773432275,-0.0176322768425327,-0.02014109828773799,-0.02240483952742585,-0.024395466131614224,-0.026103262346926365,-0.02751751735667686,-0.02864943553525405
1977-09,-0.00044490955427315716,0.0003068006319205934,0.0013484471885869195,0.0023054107614083642,0.0030467439954036286,0.003580434409719852,0.003979162724649508,0.004322458522816541,0.004687323969841742,0.0051252597489991406,0.005670498509150773,0.00634839900646781,0.007163650196905985,0.008114852940784942
1977-10,-0.003857828556905747,-0.005717729762047695,-0.005659673475827007,-0.004071046517715606,-0.0013036586310658184,0.0023709796762724864,0.0067619038040439925,0.011728333001143456,0.017172683817775734,0.02300924906114816,0.0291801263986963,0.035626305360116864,0.042302367750001284,0.049162930606167485
